particulas/s,N,opt,compiler,runs,GFLOPS,time,l1 misses,dtlb misses
98.638,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25,654665957,0.326,522356,4345
100.097,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25,660953001,0.321,550587,4616
56.284,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20,4616539829,1.921,1849815,18159
50.322,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20,4615311283,2.148,1851192,17482
56.381,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20,4611773824,1.917,1884268,18651
56.015,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20,4615388587,1.930,1866170,17931
50.301,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20,4621355234,2.149,1940040,18151
50.618,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20,4609237646,2.135,1871360,21415
50.403,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20,4612544043,2.144,1918616,18587
50.615,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20,4612187455,2.135,1936510,20665
50.504,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20,4614145809,2.140,1951443,19732
50.454,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20,4613881824,2.143,1900180,19185
56.048,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20,4620918216,1.929,1914773,16943
37.321,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20,4618390340,2.896,2039320,21960
50.380,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20,4620779076,2.146,1971522,19060
50.399,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20,4614842791,2.145,1942768,17740
56.328,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20,4618642367,1.919,1943417,18061
56.382,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20,4612210604,1.917,1924417,17857
50.453,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20,4614646282,2.142,1889269,18693
56.105,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20,4620468754,1.927,1912023,19526
50.367,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20,4618971133,2.146,1968944,18304
50.616,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20,4611233519,2.135,1934009,17391
44.242,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,15,16619285820,5.788,4832688,45478
41.860,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,15,16633878933,6.118,4876918,50664
44.289,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,15,16622742600,5.783,4786866,49886
41.838,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,15,16622663575,6.121,5072725,51082
41.903,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,15,16625888790,6.111,5096880,48840
44.319,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,15,16621947017,5.778,4824351,46002
44.080,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,15,16626427260,5.810,4890618,45875
41.894,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,15,16623518973,6.113,4883346,48508
41.918,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,15,16630859142,6.109,4842596,47285
44.309,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,15,16626089894,5.780,4921579,45318
41.844,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,15,16617024629,6.120,4836253,47991
41.898,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,15,16628661825,6.112,5036111,49064
41.938,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,15,16620374243,6.106,6718685,46654
44.045,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,15,16626904932,5.814,4797604,43427
44.176,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,15,16631161996,5.797,5908129,45172
31.567,500,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,10,50030949409,15.842,10959254,96607
33.099,500,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,10,50071824925,15.109,10955220,94932
31.623,500,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,10,50035602214,15.814,10633650,94217
33.372,500,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,10,50032112969,14.985,10607933,88415
