particulas/s,N,opt,compiler,runs,threads num,GFLOPS,time,l1 misses,dtlb misses
355.034,2916,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,gcc,5,35,1884950008703,8.220,12972920926,855333
354.912,2916,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,gcc,5,35,1886392666401,8.223,13005538257,812637
353.692,2916,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,gcc,5,35,1879120245393,8.251,13215421618,1480796
224.833,1372,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,30,309977449109,6.106,1585879578,295401
225.226,1372,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,30,310909356449,6.097,1693714545,306275
225.057,1372,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,30,310120265800,6.101,1670453659,285417
225.883,1372,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,30,309052200279,6.079,1703599785,302540
227.244,1372,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,30,310296307473,6.043,1623913386,299896
203.370,2048,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,30,661824059377,10.075,3481822114,807484
203.315,2048,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,30,661054796641,10.079,3699744476,784079
203.229,2048,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,30,662122967558,10.083,3661991004,832893
203.816,2048,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,30,662043217321,10.054,3912243384,784109
204.483,2048,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,30,661393406994,10.022,3814203145,946844
180.581,2916,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,30,1306414860728,16.153,12902983141,620258
181.132,2916,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,30,1306792234725,16.106,13142666823,617040
180.946,2916,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,30,1297675614333,16.122,13081566252,621113
180.392,2916,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,30,1305477203805,16.172,12953460915,639002
181.079,2916,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,30,1310437240258,16.111,12882787046,650755
421.370,1372,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,5,30,273759041685,3.260,1190222102,485539
417.412,1372,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,5,30,275737962000,3.292,1169663802,435144
414.574,1372,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,5,30,276202377340,3.314,1175220735,430378
393.389,1372,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,5,30,275004465270,3.492,1488427105,467807
417.756,1372,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,5,30,275940286680,3.289,1178795301,1027591
373.061,2048,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,clang,5,30,599479297128,5.494,2987616369,1258948
