particulas/s,N,opt,compiler,runs
74.840,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
76.920,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20
46.158,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,15
45.977,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,15
46.239,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,15
45.842,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,15
46.366,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,15
45.982,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,15
46.497,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,15
45.595,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,15
45.894,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,15
46.214,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,15
46.802,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,15
45.981,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,15
46.451,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,15
45.875,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,15
45.934,256,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,15
33.323,500,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,10
33.440,500,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,10
33.272,500,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,10
33.406,500,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,10
33.118,500,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,10
33.393,500,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,10
33.073,500,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,10
33.408,500,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,10
32.735,500,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,10
32.751,500,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,10
25.098,864,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,5
25.127,864,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,5
24.859,864,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,5
25.114,864,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,5
24.635,864,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,5
768.031,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30
805.264,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30
819.682,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30
798.001,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30
801.913,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30
822.771,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30
819.108,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30
825.063,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30
810.353,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30
797.223,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30
803.671,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30
786.251,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30
818.330,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30
826.993,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30
802.942,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30
809.954,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30
805.094,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30
816.368,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30
821.682,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30
820.148,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30
814.070,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30
800.990,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30
812.692,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30
793.858,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30
814.858,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30
811.744,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30
819.510,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30
811.724,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30
820.021,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30
807.374,4,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,30
594.544,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,25
593.467,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,25
592.176,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,25
604.093,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,25
621.056,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,25
609.395,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,25
617.757,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,25
616.225,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,25
627.802,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,25
630.551,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,25
620.010,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,25
626.803,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,25
619.394,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,25
617.146,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,25
620.097,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,25
626.864,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,25
619.090,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,25
622.938,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,25
613.633,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,25
630.345,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,25
620.518,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,25
614.204,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,25
610.219,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,25
626.538,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,25
612.604,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,25
271.352,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,20
268.738,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,20
270.734,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,20
272.381,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,20
276.098,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,20
265.116,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,20
265.120,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,20
265.029,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,20
268.735,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,20
265.348,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,clang,20
