particulas/s,N,opt,compiler,runs,threads num,GFLOPS,time,l1 misses,dtlb misses
51.998,32,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,25,20,654253689,0.618,21090168,24852
59.035,32,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,25,20,661936618,0.545,28115045,14366
69.655,32,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,25,20,656256482,0.462,17365392,10675
55.902,32,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,25,20,663611460,0.575,17879317,15696
67.388,32,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,25,20,652674407,0.477,18979131,11686
54.915,32,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,25,20,655252855,0.585,21075265,23239
53.074,32,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,25,20,655838196,0.605,21459847,18477
67.457,32,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,25,20,655488775,0.477,19232294,11021
57.832,32,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,25,20,653358582,0.556,59319278,15361
55.866,32,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,25,20,658923304,0.575,19431917,19340
100.719,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,20,20,4635521395,1.075,37805888,23179
96.053,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,20,20,4628759808,1.127,37022002,27321
102.387,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,20,20,4621552483,1.058,36117893,21809
102.196,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,20,20,4614159107,1.060,101476876,19334
91.790,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,20,20,4588288880,1.179,40237590,24522
107.838,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,20,20,4632927761,1.005,36401624,18238
101.989,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,20,20,4613258521,1.062,56577115,23147
106.507,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,20,20,4615378301,1.017,37742913,27075
93.830,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,20,20,4605858271,1.154,39724378,22146
107.687,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,20,20,4605954872,1.006,36420394,18613
100.272,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,20,20,4615410817,1.080,37215553,28844
94.662,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,20,20,4633396748,1.144,36642326,22371
106.246,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,20,20,4615771580,1.020,37934710,24122
108.618,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,20,20,4634976826,0.997,35605929,18436
101.101,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,20,20,4610069743,1.071,38408936,16954
97.604,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,20,20,4654119127,1.109,37108766,20546
96.802,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,20,20,4633055317,1.119,38250546,22582
105.115,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,20,20,4646062180,1.030,37918947,20942
100.833,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,20,20,4622804073,1.074,36638324,14940
96.124,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,20,20,4624388911,1.126,99218882,21289
194.268,256,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,15,20,16634233101,1.321,77094454,62489
208.685,256,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,15,20,16656707442,1.230,79303839,47018
191.204,256,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,15,20,16720778317,1.342,147312462,53103
199.021,256,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,15,20,16656900147,1.289,78920561,62146
191.977,256,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,15,20,16650053685,1.336,121086074,56477
183.894,256,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,15,20,16629739791,1.395,76335370,73617
194.083,256,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,15,20,16620109213,1.322,99522112,46119
199.384,256,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,15,20,16693259537,1.287,79183760,54234
189.304,256,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,15,20,16654770963,1.356,73586711,53409
199.933,256,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,15,20,16618999281,1.283,72781148,50160
212.999,256,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,15,20,16644999352,1.205,74312198,56769
221.250,256,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,15,20,16628591967,1.160,74851140,43585
204.041,256,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,15,20,16642158685,1.258,75744309,58716
219.090,256,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,15,20,16661096041,1.171,71916162,53773
203.098,256,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,15,20,16673104692,1.263,78346579,72321
247.157,500,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,10,20,50040856985,2.026,154861177,128593
244.643,500,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,10,20,50097438399,2.047,182734296,116247
245.386,500,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,10,20,49904761183,2.041,179868444,110472
