particulas/s,N,opt,compiler,runs,threads num,GFLOPS,time,l1 misses,dtlb misses
38.612,32,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,25,40,657584585,0.832,103055979,29438
33.505,32,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,25,40,655091382,0.959,45099226,38921
39.382,32,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,25,40,657714696,0.816,42259051,31745
36.312,32,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,25,40,660418295,0.885,82933020,29413
33.140,32,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,25,40,653470055,0.969,57840800,40075
38.747,32,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,25,40,659154675,0.830,41554569,34216
39.409,32,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,25,40,662356112,0.816,40946226,38300
34.801,32,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,25,40,661761346,0.923,44685955,38590
42.057,32,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,25,40,664476863,0.765,53363978,19980
34.703,32,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,25,40,653804030,0.926,48269470,35661
78.389,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,20,40,4616501003,1.382,73314985,41854
73.299,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,20,40,4677581273,1.477,74389515,60134
77.393,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,20,40,4658099504,1.399,91065959,52990
71.890,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,20,40,4594439406,1.506,74241283,56680
70.374,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,20,40,4684868998,1.538,170912023,60988
64.010,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,20,40,4617240415,1.691,79373250,48839
71.360,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,20,40,4667530126,1.517,73636242,41797
79.235,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,20,40,4630300756,1.367,83392978,45248
75.332,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,20,40,4601735196,1.437,71163917,39760
75.013,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,20,40,4645765777,1.444,79754766,45141
82.384,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,20,40,4619893320,1.315,129284752,48524
75.796,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,20,40,4681833265,1.429,75425503,55275
74.767,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,20,40,4626045743,1.448,125742526,58701
67.861,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,20,40,4615361653,1.595,78247123,55070
78.876,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,20,40,4652211384,1.373,83918382,49227
80.450,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,20,40,4638274925,1.346,73785803,50130
80.336,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,20,40,4618424521,1.348,84721245,45207
78.447,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,20,40,4608212850,1.380,73017962,38816
70.493,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,20,40,4673842962,1.536,74015044,46513
76.414,108,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,20,40,4614987690,1.417,72227299,42619
150.629,256,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,15,40,16599461996,1.703,148913081,87373
137.650,256,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,15,40,16557306018,1.864,145478369,80310
150.038,256,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,15,40,16596541036,1.710,144435846,70929
139.095,256,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,15,40,16648597196,1.844,143141353,83066
132.078,256,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,15,40,16668782726,1.942,172416794,89596
142.514,256,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,15,40,16669248113,1.800,198240134,77284
132.634,256,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,15,40,16696032191,1.934,233154373,84976
142.576,256,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,15,40,16669617665,1.800,156570121,67328
133.008,256,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,15,40,16631565727,1.929,147407874,81855
130.354,256,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,15,40,16604102834,1.968,247285990,75258
144.096,256,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,15,40,16753860921,1.780,144195066,81725
140.078,256,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,15,40,16764990356,1.832,150205097,81510
138.481,256,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,15,40,16641277085,1.853,176563729,86773
136.255,256,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,15,40,16658946798,1.883,151804120,79146
132.642,256,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,15,40,16628509733,1.934,148907590,79011
194.573,500,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,10,40,50201523234,2.573,397702210,136344
211.959,500,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,10,40,50215140024,2.363,327981086,114705
199.099,500,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,10,40,50102985745,2.516,437721045,141994
202.073,500,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,10,40,50010398798,2.479,328348282,139777
214.023,500,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,10,40,50007529977,2.340,325959647,116943
206.406,500,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,10,40,50163226959,2.426,339891123,127704
206.044,500,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,10,40,50204576861,2.431,391262570,133872
211.124,500,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,10,40,50013118987,2.373,327935077,126631
202.205,500,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,10,40,50032148794,2.477,340797648,127752
206.204,500,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,10,40,50222860380,2.429,327573028,130209
141.887,864,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,40,131711404624,6.095,1326797727,317272
209.999,864,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,40,131813940041,4.119,1306792443,202257
211.432,864,-O1 -ffast-math -ftree-vectorize -funroll-loops -fopenmp,icc,5,40,132156281813,4.091,1357134528,182791
