particulas/s,N,opt,compiler,runs,GFLOPS,time,l1 misses,dtlb misses
97.024,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25,657850199,0.332,542515,5085
96.689,32,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,25,656473839,0.333,520806,4356
53.761,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20,4613163721,2.011,1822256,18500
39.946,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20,4614933537,2.706,1986836,19982
47.963,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20,4612869462,2.254,1926755,17568
48.290,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20,4616286913,2.238,1921362,19839
48.226,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20,4620958361,2.241,1965945,17699
48.075,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20,4621085314,2.248,2129783,17162
53.654,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20,4614031993,2.015,1943333,17130
53.794,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20,4612424167,2.010,1842504,17066
48.245,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20,4619157748,2.241,1973914,19146
53.800,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20,4611157872,2.009,1856724,18881
48.296,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20,4614604169,2.238,1956460,17660
53.839,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20,4610427039,2.008,1870306,17369
53.674,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20,4616361918,2.014,1877440,17810
48.232,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20,4620834323,2.241,1911419,18614
53.679,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20,4618090323,2.014,1802481,17155
48.276,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20,4618433403,2.239,1902583,17884
53.731,108,-O1 -ffast-math -ftree-vectorize -funroll-loops,icc,20,4614169667,2.012,1871357,17159
